,add_inc,column,len(a),len(b),mean,mean_a,mean_b,mult_inc,mult_increase,n,name_a,name_b,pval,winner
50,,results_top_domain_frac_www.hondamorristown.com,210,50,0.0,0.0,0.0,,1.0,260,rural,urban,,
51,,results_full_domain_frac_collegefootballplayoff.com,210,50,0.02,0.02,0.02,,1.0,260,rural,urban,,
52,,results_top_three_domain_frac_collegefootballplayoff.com,210,50,0.03333333333333333,0.0333,0.0333,,1.0,260,rural,urban,,
53,,results_top_domain_frac_collegefootballplayoff.com,210,50,0.0,0.0,0.0,,1.0,260,rural,urban,,
54,,results_full_domain_frac_www.tripadvisor.com,210,50,0.0,0.0,0.0,,1.0,260,rural,urban,,
55,,results_top_three_domain_frac_www.tripadvisor.com,210,50,0.0,0.0,0.0,,1.0,260,rural,urban,,
56,,results_top_domain_frac_www.tripadvisor.com,210,50,0.0,0.0,0.0,,1.0,260,rural,urban,,
57,,results_full_domain_frac_www.dominos.com,210,50,0.0,0.0,0.0,,1.0,260,rural,urban,,
58,,results_top_three_domain_frac_www.dominos.com,210,50,0.0,0.0,0.0,,1.0,260,rural,urban,,
59,,results_top_domain_frac_www.dominos.com,210,50,0.0,0.0,0.0,,1.0,260,rural,urban,,
60,,results_full_domain_frac_www.nj.com,210,50,0.0,0.0,0.0,,1.0,260,rural,urban,,
61,,results_top_three_domain_frac_www.nj.com,210,50,0.0,0.0,0.0,,1.0,260,rural,urban,,
62,,results_top_domain_frac_www.nj.com,210,50,0.0,0.0,0.0,,1.0,260,rural,urban,,
63,,results_full_domain_frac_www.branchspot.com,210,50,0.0,0.0,0.0,,1.0,260,rural,urban,,
64,,results_top_three_domain_frac_www.branchspot.com,210,50,0.0,0.0,0.0,,1.0,260,rural,urban,,
65,,results_top_domain_frac_www.branchspot.com,210,50,0.0,0.0,0.0,,1.0,260,rural,urban,,
66,,results_full_domain_frac_www.usa-banks.net,210,50,0.0,0.0,0.0,,1.0,260,rural,urban,,
67,,results_top_three_domain_frac_www.usa-banks.net,210,50,0.0,0.0,0.0,,1.0,260,rural,urban,,
68,,results_top_domain_frac_www.usa-banks.net,210,50,0.0,0.0,0.0,,1.0,260,rural,urban,,
69,,results_full_domain_frac_www.dunncountrymotors.com,210,50,0.0,0.0,0.0,,1.0,260,rural,urban,,
70,,results_top_three_domain_frac_www.dunncountrymotors.com,210,50,0.0,0.0,0.0,,1.0,260,rural,urban,,
71,,results_top_domain_frac_www.dunncountrymotors.com,210,50,0.0,0.0,0.0,,1.0,260,rural,urban,,
72,,results_full_domain_frac_www.phoenixnewtimes.com,210,50,0.0,0.0,0.0,,1.0,260,rural,urban,,
73,,results_top_three_domain_frac_www.phoenixnewtimes.com,210,50,0.0,0.0,0.0,,1.0,260,rural,urban,,
74,,results_top_domain_frac_www.phoenixnewtimes.com,210,50,0.0,0.0,0.0,,1.0,260,rural,urban,,
75,,results_full_domain_frac_www.aijustice.org,210,50,0.0,0.0,0.0,,1.0,260,rural,urban,,
76,,results_top_three_domain_frac_www.aijustice.org,210,50,0.0,0.0,0.0,,1.0,260,rural,urban,,
77,,results_top_domain_frac_www.aijustice.org,210,50,0.0,0.0,0.0,,1.0,260,rural,urban,,
78,,results_full_domain_frac_www.schimmergm.com,210,50,0.0,0.0,0.0,,1.0,260,rural,urban,,
79,,results_top_three_domain_frac_www.schimmergm.com,210,50,0.0,0.0,0.0,,1.0,260,rural,urban,,
80,,results_top_domain_frac_www.schimmergm.com,210,50,0.0,0.0,0.0,,1.0,260,rural,urban,,
81,,results_full_domain_frac_www.facebook.com,210,50,0.0,0.0,0.0,,1.0,260,rural,urban,,
82,,results_top_three_domain_frac_www.facebook.com,210,50,0.0,0.0,0.0,,1.0,260,rural,urban,,
83,,results_top_domain_frac_www.facebook.com,210,50,0.0,0.0,0.0,,1.0,260,rural,urban,,
84,,results_full_domain_frac_www.chevrolet.com,210,50,0.0,0.0,0.0,,1.0,260,rural,urban,,
85,,results_top_three_domain_frac_www.chevrolet.com,210,50,0.0,0.0,0.0,,1.0,260,rural,urban,,
86,,results_top_domain_frac_www.chevrolet.com,210,50,0.0,0.0,0.0,,1.0,260,rural,urban,,
87,,results_full_domain_frac_gun-control.procon.org,210,50,0.0,0.0,0.0,,1.0,260,rural,urban,,
